frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
277.2,461.0,226.33947954345038,0.0,467.0,260.7,434.0,212.86148078034222,0.0,436.0,29087.143258422206,48413.9502322434,23749.618957218525,0.0,48510.883029933815,0.0,0.0,0.0,0.0,0.0
231.625,222.0,231.76029507877314,0.0,505.0,217.325,217.0,217.3256068092299,0.0,436.0,24218.082151740367,23530.254621371325,24219.466896028698,0.0,49053.312262602754,0.0,0.0,0.0,0.0,0.0
228.2,222.0,228.27803223262637,0.0,467.0,217.45,217.0,217.45067831579647,0.0,436.0,24328.705197128915,24158.508717276494,24329.45475426232,0.0,49053.312262602754,0.0,0.0,0.0,0.0,0.0
224.425,213.5,224.50911869008794,0.0,469.0,217.375,217.0,217.37567567462557,0.0,436.0,24449.13217834696,24126.058761970537,24449.913308614294,0.0,49585.45405259342,0.0,0.0,0.0,0.0,0.0
221.85,208.0,221.98328202817436,0.0,461.0,217.325,217.0,217.32537673957913,0.0,436.0,24530.339929131245,24255.441514966908,24531.532621748913,0.0,49924.204324517596,0.0,0.0,0.0,0.0,0.0
208.575,85.5,216.33965049199836,0.0,466.0,210.8,151.0,212.58541812645572,0.0,436.0,23563.52845923941,14566.215335361332,23918.132205408972,0.0,50046.2861455,0.0,0.0,0.0,0.0,0.0
213.7,85.5,218.3164217368909,0.0,496.0,214.175,153.5,215.07799602702272,0.0,435.0,24098.284361800368,15122.54464134403,24279.06501102556,0.0,50468.89773251851,0.0,0.0,0.0,0.0,0.0
203.725,90.5,207.93520475138402,0.0,508.0,207.55,20.0,216.2863784430263,0.0,436.0,23658.001934403983,5e-06,24879.569992734843,0.0,51549.97279513599,0.0,0.0,0.0,0.0,0.0
191.925,85.5,199.39450688271228,0.0,457.0,204.325,20.0,213.80357661882087,0.0,436.0,23336.310638105675,5e-06,24734.520903854576,0.0,51549.97279513599,0.0,0.0,0.0,0.0,0.0
173.975,66.5,181.37440385842763,0.0,401.0,211.325,155.5,212.91469976260444,0.0,436.0,24652.50711857959,15809.72492688376,24992.90932888358,0.0,51549.97279513599,0.0,0.0,0.0,0.0,0.0
